"filename", "language", "Vue", "JavaScript", "XML", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Divider\pc.vue", "Vue", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\mobile.vue", "Vue", 42, 0, 0, 0, 0, 0, 0, 10, 2, 54
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\Other\pc.vue", "Vue", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\mobile.vue", "Vue", 67, 0, 0, 0, 0, 0, 0, 1, 3, 71
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Html\pc.vue", "Vue", 24, 0, 0, 0, 0, 0, 0, 4, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\mobile.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Input\pc.vue", "Vue", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\mobile.vue", "Vue", 42, 0, 0, 0, 0, 0, 0, 10, 2, 54
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\Other\pc.vue", "Vue", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\mobile.vue", "Vue", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Number\pc.vue", "Vue", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other copy\mobile.vue", "Vue", 42, 0, 0, 0, 0, 0, 0, 10, 2, 54
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other copy\pc.vue", "Vue", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\mobile.vue", "Vue", 42, 0, 0, 0, 0, 0, 0, 10, 2, 54
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Other\pc.vue", "Vue", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\mobile.vue", "Vue", 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Radio\pc.vue", "Vue", 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\mobile.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Rate\pc.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\mobile.vue", "Vue", 79, 0, 0, 0, 0, 0, 0, 0, 3, 82
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Region\pc.vue", "Vue", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\mobile.vue", "Vue", 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Select\pc.vue", "Vue", 29, 0, 0, 0, 0, 0, 0, 4, 3, 36
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 1, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\mobile.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Sform\pc.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\mobile.vue", "Vue", 158, 0, 0, 0, 0, 0, 0, 3, 3, 164
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Signature\pc.vue", "Vue", 153, 0, 0, 0, 0, 0, 0, 0, 3, 156
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\mobile.vue", "Vue", 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Slider\pc.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\mobile.vue", "Vue", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Stable\pc.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\mobile.vue", "Vue", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Switch\pc.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\mobile.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 10, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Textarea\pc.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 10, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\mobile.vue", "Vue", 74, 0, 0, 0, 0, 0, 0, 0, 3, 77
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Time\pc.vue", "Vue", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\mobile.vue", "Vue", 67, 0, 0, 0, 0, 0, 0, 2, 1, 70
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Uploadfile\pc.vue", "Vue", 89, 0, 0, 0, 0, 0, 0, 4, 3, 96
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\index.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\project\stepin-template-main\src\packages\formEditor\components\Icon.vue", "Vue", 30, 0, 0, 0, 0, 0, 0, 3, 3, 36
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\CollapseLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 1, 47
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\ControlInsertionPlugin.ts", "TypeScript", 0, 0, 0, 453, 0, 0, 0, 32, 16, 501
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\DragGable.tsx", "TypeScript JSX", 0, 0, 0, 0, 220, 0, 0, 7, 2, 229
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\GridLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 77, 0, 0, 7, 1, 85
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\InlineLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\SubformLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 168, 0, 0, 3, 1, 172
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\TableLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 1, 90
"c:\project\stepin-template-main\src\packages\formEditor\components\Layout\TabsLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 1, 1, 50
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Canves\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 81, 0, 0, 7, 1, 89
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\AllsidesComponent.vue", "Vue", 80, 0, 0, 0, 0, 0, 0, 1, 1, 82
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\BackgroundComponent.vue", "Vue", 286, 0, 0, 0, 0, 0, 0, 10, 2, 298
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\BorderComponent.vue", "Vue", 131, 0, 0, 0, 0, 0, 0, 32, 1, 164
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\CheckboxComponent.vue", "Vue", 35, 0, 0, 0, 0, 0, 0, 4, 1, 40
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\CollapseComponent.vue", "Vue", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\DataComponent1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 212, 2, 1, 215
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\DataComponent2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 184, 15, 1, 200
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\DataComponent3.vue", "Vue", 91, 0, 0, 0, 0, 0, 0, 0, 1, 92
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\GlobalConfigPanel.vue", "Vue", 218, 0, 0, 0, 0, 0, 0, 0, 1, 219
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\LimitComponent.vue", "Vue", 46, 0, 0, 0, 0, 0, 0, 9, 1, 56
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\LogicComponent.vue", "Vue", 284, 0, 0, 0, 0, 0, 0, 15, 2, 301
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\PropsPanel copy.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\PropsPanel.vue", "Vue", 793, 0, 0, 0, 0, 0, 0, 16, 2, 811
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\SubformDefaultValue.vue", "Vue", 118, 0, 0, 0, 0, 0, 0, 3, 1, 122
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\TypeComponent.vue", "Vue", 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\components\generateFilterdata.js", "JavaScript", 0, 394, 0, 0, 0, 0, 0, 32, 1, 427
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\configPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 174, 0, 0, 4, 2, 180
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Config\index.vue", "Vue", 167, 0, 0, 0, 0, 0, 0, 18, 2, 187
"c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Fields\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 8, 1, 116
"c:\project\stepin-template-main\src\packages\formEditor\components\Selection\selectElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 425, 0, 0, 46, 5, 476
"c:\project\stepin-template-main\src\packages\formEditor\config.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 0, 99
"c:\project\stepin-template-main\src\packages\formEditor\defaultProps.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"c:\project\stepin-template-main\src\packages\formEditor\formEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 614, 0, 0, 21, 5, 640
"c:\project\stepin-template-main\src\packages\formEditor\formTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\project\stepin-template-main\src\packages\formEditor\formType.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\project\stepin-template-main\src\packages\formEditor\generatorData.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 2, 1, 29
